RecordingDate,Liturgical Year,Week Number,PrimaryLiturgicalTitle
5/22/2050,Year A,27,Eighth Sunday of Easter
5/29/2050,Year A,28,Day of Pentecost
6/5/2050,Year A,29,The Holy Trinity
6/12/2050,Year A,30,Second Sunday after Pentecost
6/19/2050,Year A,31,Third Sunday after Pentecost
6/26/2050,Year A,32,Fourth Sunday after Pentecost
7/3/2050,Year A,33,Fifth Sunday after Pentecost
7/10/2050,Year A,34,Sixth Sunday after Pentecost
7/17/2050,Year A,35,Seventh Sunday after Pentecost
7/24/2050,Year A,36,Eighth Sunday after Pentecost
7/31/2050,Year A,37,Ninth Sunday after Pentecost
8/7/2050,Year A,38,Tenth Sunday after Pentecost
8/14/2050,Year A,39,Eleventh Sunday after Pentecost
8/21/2050,Year A,40,Twelfth Sunday after Pentecost
8/28/2050,Year A,41,Thirteenth Sunday after Pentecost
9/4/2050,Year A,42,Fourteenth Sunday after Pentecost
9/11/2050,Year A,43,Fifteenth Sunday after Pentecost
9/18/2050,Year A,44,Sixteenth Sunday after Pentecost
9/25/2050,Year A,45,Seventeenth Sunday after Pentecost
10/2/2050,Year A,46,Eighteenth Sunday after Pentecost
10/9/2050,Year A,47,Nineteenth Sunday after Pentecost
10/16/2050,Year A,48,Twentieth Sunday after Pentecost
10/23/2050,Year A,49,Twenty-first Sunday after Pentecost
10/30/2050,Year A,50,Twenty-second Sunday after Pentecost
11/6/2050,Year A,51,All Saints Day
11/13/2050,Year A,52,Twenty-fourth Sunday after Pentecost
11/20/2050,Year A,53,Twenty-fifth Sunday after Pentecost
11/27/2050,Year B,1,First Sunday of Advent
12/4/2050,Year B,2,Second Sunday of Advent
12/11/2050,Year B,3,Third Sunday of Advent
12/18/2050,Year B,4,Fourth Sunday of Advent
12/25/2050,Year B,5,Christmas Day
1/1/2051,Year B,6,First Sunday of Christmas
1/8/2051,Year B,7,Baptism of Our Lord
1/15/2051,Year B,8,Second Sunday after Epiphany
1/22/2051,Year B,9,Third Sunday after Epiphany
1/29/2051,Year B,10,Fourth Sunday after Epiphany
2/5/2051,Year B,11,Fifth Sunday after Epiphany
2/12/2051,Year B,12,Sixth Sunday after Epiphany
2/19/2051,Year B,13,First Sunday in Lent
2/26/2051,Year B,14,Second Sunday in Lent
3/5/2051,Year B,15,Third Sunday in Lent
3/12/2051,Year B,16,Fourth Sunday in Lent
3/19/2051,Year B,17,Fifth Sunday in Lent
3/26/2051,Year B,18,Sixth Sunday in Lent
4/2/2051,Year B,19,Resurrection of Our Lord
4/9/2051,Year B,20,Third Sunday of Easter
4/16/2051,Year B,21,Fourth Sunday of Easter
4/23/2051,Year B,22,Fifth Sunday of Easter
4/30/2051,Year B,23,Sixth Sunday of Easter
5/7/2051,Year B,24,Seventh Sunday of Easter
5/14/2051,Year B,25,Eighth Sunday of Easter
5/21/2051,Year B,26,Day of Pentecost
5/28/2051,Year B,27,The Holy Trinity
6/4/2051,Year B,28,Second Sunday after Pentecost
6/11/2051,Year B,29,Third Sunday after Pentecost
6/18/2051,Year B,30,Fourth Sunday after Pentecost
6/25/2051,Year B,31,Fifth Sunday after Pentecost
7/2/2051,Year B,32,Sixth Sunday after Pentecost
7/9/2051,Year B,33,Seventh Sunday after Pentecost
7/16/2051,Year B,34,Eighth Sunday after Pentecost
7/23/2051,Year B,35,Ninth Sunday after Pentecost
7/30/2051,Year B,36,Tenth Sunday after Pentecost
8/6/2051,Year B,37,Eleventh Sunday after Pentecost
8/13/2051,Year B,38,Twelfth Sunday after Pentecost
8/20/2051,Year B,39,Thirteenth Sunday after Pentecost
8/27/2051,Year B,40,Fourteenth Sunday after Pentecost
9/3/2051,Year B,41,Fifteenth Sunday after Pentecost
9/10/2051,Year B,42,Sixteenth Sunday after Pentecost
